trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-27.91591927749935,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-253.90585741360474,"{0: 9, 1: 4, 2: 8, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,13,-50.04205388428164,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-214.2412834019767,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,12,-171.5606961297941,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 3}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-65.27277333737968,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,5,-112.60209200811343,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,10,11.265476482754188,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-86.72093981301569,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,4,-69.42248899145234,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,9,-41.73161141944567,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,8,-54.766590922406515,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,6,-33.977900991313994,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-47.54184444037282,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-9.628986955703411,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,4,-62.386197465357554,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,2.244872675294907,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,10,15.352131814617485,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-71.2274003279378,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,13,10.88396035992788,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,20,10.401709630897313,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,9,-31.30071287862335,"{0: 8, 1: 1, 2: 0, 3: 2, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,-62.72128775487424,"{0: 26, 1: 0, 2: 0, 3: 3, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,2,26.086767348044525,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,15.738862828212914,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-21.506204829163217,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,12,-11.917848793954292,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-85.14996820818185,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,4,15.565710347152425,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,9.064135717501614,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
