trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,2,-128.20063958737444,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.5612310241546865}",30,6,-72.85626727480377,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.40031231839200093}",30,0,-49.37196720613871,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.31498026247371824}",20,0,-26.23500096552131,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.2615320972023661}",20,0,-70.26664220280041,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.2246676924328796}",20,0,18.434035551623957,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.19758393632406976}",20,9,15.313676138873289,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.17677669529663687}",20,8,-5.457773883317765,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.1602499522563787}",20,0,-4.231282806519294,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.14677992676220694}",20,0,-37.81838113590928,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.1355728614011917}",30,18,-77.39889196374928,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.12609047911857513}",20,0,-12.29511597582186,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.1179543259243375}",25,13,6.868330897682733,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.11089023493967204}",20,2,8.10186530173549,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.10469452016500129}",20,16,7.218279888247566,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.09921256574801246}",30,13,16.259787551323374,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.09432480126544406}",20,0,14.091241427678979,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.08993724482558703}",25,0,-73.50005746090609,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.0859749633194997}",25,4,-14.187522733831077,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.08237744862210328}",20,8,16.06221572414237,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.07909528362690585}",25,13,21.20265896003074,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.07608769585177218}",20,0,25.87349194550699,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.07332073389310145}",30,15,-16.044086176197943,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.07076588873187303}",35,16,-60.72614379380377,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.06839903786706787}",20,0,16.365304491612427,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.06619962714199161}",25,10,-15.635494771144351,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.06415002990995841}",20,5,20.17587547508344,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.062235040123945935}",25,13,16.000155372565864,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.06044146769778479}",25,0,-7.006185216237524,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.058757812775587163}",25,0,-5.498112224671592,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.05717400146653649}",20,14,-29.988559902893726,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.055681169883771205}",25,0,33.339685099402544,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.054271486458548464}",20,9,19.884826675038216,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.05293800481739244}",25,0,4.18187596332863,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.05167454124033273}",20,1,25.230375576607248,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.05047557202311498}",25,0,-0.827178826910264,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.0493361470588017}",25,13,20.727877605843585,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.04825181671546442}",20,11,-7.018886119716784,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.04721856967513724}",20,0,9.252384672260582,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.04623277985743309}",25,6,2.5376911389978707,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.045291160910520746}",20,16,7.693162245078036,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
