trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-95.93096473188182,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-241.08862405651413,"{0: 8, 1: 0, 2: 7, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-196.95024515413914,"{0: 8, 1: 0, 2: 9, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,1,-40.94319017930184,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-209.3712947276247,"{0: 12, 1: 3, 2: 5, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,5,-45.89063303747688,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-136.46294065082358,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-99.56070792980134,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,0,-222.65121942280868,"{0: 22, 1: 2, 2: 6, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-121.18904639123653,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-116.57853038930914,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-185.48669832460268,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-128.21471149706238,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,4,-152.94047127857033,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-139.37597672073414,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-76.97889443008026,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-78.6871236540632,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-176.8204567869632,"{0: 15, 1: 3, 2: 8, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,11,-14.942990265581765,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-161.57947915685352,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-64.30431286134792,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,9,-73.67962906678146,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,-52.91745700084785,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",35,0,-203.9694227518241,"{0: 20, 1: 3, 2: 7, 3: 3, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-91.41139921908854,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-76.04128822948881,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,-126.1922312656438,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,0,-264.6101402541532,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 5}",0
9,True,"{'a': 0, 'e': 0}",25,0,-49.86221999603023,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-116.09755310010958,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
